Step,radius1,radius0.1,radius2,radius10,radius0.5
512,121.5,0.66796875,221,21888,18.375
513,122.5,0.71484375,213,22016,20
514,118.5,0.8359375,209,21120,19.625
515,128,0.6171875,228,22272,18.75
517,122.5,0.71484375,223,22528,19.625
519,117,0.94140625,238,24192,20.25
520,135,0.66015625,235,21760,20.25
521,127.5,0.9296875,230,23296,20.25
522,130,0.8515625,214,21376,20.875
524,122.5,0.98046875,217,22528,19.75
525,126,0.84375,223,21760,22.125
526,131,0.80859375,217,22272,21.75
527,135,0.984375,215,23296,20.25
528,135,0.9453125,238,24960,21
529,137,0.90625,230,23296,20.875
530,141,0.5703125,233,21888,19.625
531,134,0.953125,217,23296,23.5
532,128,0.8125,233,20864,20.875
533,142,0.91796875,246,25344,20.375
534,129,0.7265625,227,23680,22
535,138,0.6875,232,22400,21.625
536,139,0.97265625,239,24960,21.625
537,143,0.93359375,235,22656,22.375
538,139,0.8671875,232,22400,21
539,156,1.046875,244,27008,23.625
540,151,0.99609375,244,21504,22.25
542,141,0.7265625,229,22272,24.125
543,137,1.015625,232,20608,22.625
545,140,0.78515625,258,23168,26.625
547,140,0.96875,235,24960,21.75
549,146,0.88671875,244,22144,22.25
550,172,0.8828125,251,23936,22.375
551,139,1,232,22016,24
552,147,1.0625,246,22656,23.875
554,149,1.046875,262,23040,25.125
555,154,0.9296875,247,22656,23.625
556,156,0.74609375,245,21888,25.25
557,157,0.94140625,266,21760,23.875
560,154,1.0625,243,23552,26.375
562,155,1.125,256,23680,24.25
563,169,0.90625,262,24192,24.875
564,151,0.84375,258,23552,25.125
565,164,0.83984375,264,23552,26
566,150,1.0546875,268,24832,24.375
567,160,0.8359375,270,22016,25.25
568,183,0.94140625,292,23552,25
570,172,1.1484375,268,22912,26.25
573,163,0.90625,266,25344,27.75
574,154,1.0859375,270,22656,28.75
575,187,0.859375,272,25728,26.875
576,160,1.21875,260,25856,26.25
577,160,0.953125,266,23680,26.625
578,174,1.1796875,282,24704,26.125
579,188,1.2109375,268,23808,26.5
581,164,1.09375,296,23936,27.375
582,180,1.0703125,298,25856,26.625
583,191,0.9296875,292,27520,28.25
584,163,0.90234375,292,28928,27.5
585,179,0.9140625,334,25984,28.25
586,175,1.1015625,306,25856,27.625
587,190,1.234375,286,23296,29.875
588,173,1.03125,278,24320,28.375
589,163,1.1953125,262,24320,29.875
590,196,1.078125,282,24576,30.875
591,166,0.88671875,276,25728,30
592,173,1.0078125,284,25344,27.5
593,184,1.03125,296,24576,30.125
595,184,1.0390625,294,26112,30.125
596,189,0.875,284,28544,28.25
597,189,1.0625,278,23552,29
598,199,0.94140625,298,27648,29.125
599,183,1.140625,286,23936,29.75
600,185,0.828125,296,29440,29.5
602,185,0.96484375,270,27776,31.75
603,193,1.0078125,274,27264,32.5
